id,Date,User,Tweet,Media,Likes,Retweets,Comments
0,2022-04-21 22:54:00+00:00,JoeBiden,"Our unity at home and our unity with allies, partners, and the Ukrainian people is sending an unmistakable message to Putin: He will never succeed in dominating and occupying all of Ukraine. That will not happen.",,11413,1663,1557
1,2022-04-02 00:49:00+00:00,JoeBiden,"Putin’s invasion of Ukraine has driven up gas prices and food prices all over the world. 

To help deal with that, yesterday I authorized the release of 1 million barrels per day for the next six months from our Strategic Petroleum Reserve.",,33727,4426,7156
2,2022-03-28 22:54:00+00:00,JoeBiden,"A dictator bent on rebuilding an empire will never erase a people's love for liberty. 

Brutality will never grind down the will to be free. Ukraine will never be a victory for Russia.",,34952,5051,2888
3,2022-03-27 15:35:01+00:00,JoeBiden,My message to the people of Ukraine: We stand with you. Period.,,129578,12598,15042
4,2022-03-25 15:25:16+00:00,JoeBiden,The United States is prepared to commit more than $1 billion in humanitarian assistance to help get relief to millions of Ukrainians affected by the war in Ukraine. https://t.co/c6AeFn8QDn,https://pbs.twimg.com/media/FOtJkl2WQAEQJh5.jpg,8500,1277,1809
5,2022-03-25 01:02:00+00:00,JoeBiden,"NATO has never been more united than it is today. 

Putin is getting exactly the opposite of what he intended to have as a consequence of going into Ukraine.",,48321,5363,4484
6,2022-03-16 14:18:00+00:00,JoeBiden,"The Bipartisan Government Funding Bill includes $13.6B to address Russia's invasion of Ukraine and the impact on surrounding countries.

Putin's aggression against Ukraine has united people across America, united our two parties in Congress, and united the freedom-loving world.",,13843,2045,3307
7,2022-03-14 16:47:01+00:00,JoeBiden,"The American people are united, the world is united, and we stand with the people of Ukraine. 

We will not let autocrats and would-be emperors dictate the direction of the world.",,45510,5737,6539
8,2022-03-09 16:08:01+00:00,JoeBiden,"We're going to continue to support the brave Ukrainian people as they fight for their country.

I call on Congress to pass the $12 billion Ukraine assistance package.",,48724,5341,7012
9,2023-02-07 16:15:00+00:00,POTUS,"Since this, we’ve stood shoulder-to-shoulder with the world in our support for Ukraine, keeping the flame of liberty burning as brightly as we can.",,5488,1024,1427
10,2023-01-25 22:27:09+00:00,POTUS,"Today, I announced that the United States will send 31 Abrams tanks to Ukraine – evidence of our enduring and unflagging commitment to Ukraine and our confidence in the skill of Ukrainian forces.
 
As I told President Zelenskyy, we're with Ukraine for as long as it takes. https://t.co/OvG3Yh55kx",https://pbs.twimg.com/media/FnWfbt6XwAA5G03?format=jpg&name=large,32526,4595,14227
11,2023-01-25 17:01:13+00:00,POTUS,Tune in as I deliver remarks on our continued support for Ukraine. https://t.co/kE6LoH14qa,,13049,2041,4502
12,2023-01-18 23:42:12+00:00,POTUS,"Jill and I send our deepest condolences to the families of all those killed in the tragic helicopter crash in Ukraine this morning – including Minister of Internal Affairs Monastyrskyy, a reformer and patriot.

We grieve with all those who are mourning this heartbreaking tragedy.",,15265,2132,2442
13,2022-12-29 23:18:57+00:00,POTUS,"Today, I signed the bipartisan omnibus bill, ending a year of historic progress.
 
It'll invest in medical research, safety, veteran health care, disaster recovery, VAWA funding – and gets crucial assistance to Ukraine.
 
Looking forward to more in 2023. https://t.co/KTI1R9qMij",https://pbs.twimg.com/media/FlLoXM0WIAY1tzZ?format=jpg&name=large,21579,3232,6271
14,2022-12-23 20:30:00+00:00,POTUS,"The average gas price is now 44 cents below levels when Russia invaded Ukraine.
 
All the increases since the beginning of Russia’s attack have been wiped out.",,24181,3111,8049
15,2022-12-23 17:17:28+00:00,POTUS,"Ukraine and the Ukrainian people don’t just inspire us – they inspire the world. 

It was an honor to host President Zelenskyy at the White House. https://t.co/lzxd40Ervv",https://pbs.twimg.com/media/Fkrdg1vUAAAtwKR.jpg,46715,6962,6167
16,2022-12-22 03:51:34+00:00,POTUS,"Tonight, the fourth night of Hanukkah, we honor the timeless miracle of a small band of warriors fighting for their values against a much larger foe.

That story of resilience reminds me of Ukraine. Even in the darkest days of the year – light will always prevail. https://t.co/4Xqavk1zMA",https://pbs.twimg.com/media/FkjaAaXWYAAz397.jpg,26995,3894,3218
17,2022-12-22 02:30:02+00:00,POTUS,"What President Zelenskyy and the people of Ukraine have achieved matters for the entire world. Together, the United States and Ukraine will keep the flame of liberty burning bright.
 
That light – again – will prevail over darkness. https://t.co/sxktF6bmV7",https://pbs.twimg.com/media/FkjHYKgXEAI_Y9g?format=jpg&name=large,33209,3878,3597
18,2022-12-22 01:50:00+00:00,POTUS,"Today marks 300 days since Putin launched an assault on the free people of Ukraine.
 
Today also marks 300 days of the Ukrainian people showing Russia – and the world – their iron backbone, their love of country, and their unbreakable determination to choose their own path.",,42889,5770,4126
19,2022-12-22 01:11:06+00:00,POTUS,"I had the honor of sitting down with President Zelenskyy of Ukraine.

We've been in communication throughout the war, but it was meaningful to speak in person. I told President Zelenskyy the United States is committed to supporting the Ukrainian people for as long as it takes. https://t.co/l5HwdXmaBW",https://pbs.twimg.com/media/Fki1UIDWIAE5xkD?format=jpg&name=large,79561,7152,5090
20,2022-12-21 23:28:12+00:00,POTUS,"In Ukraine's fight against Russia's unprovoked, unjustified war, I’m proud to say they have not stood alone.
 
And on my watch, they never will. https://t.co/2RV8dyXHxr",https://pbs.twimg.com/media/Fkid72FVQAAthFJ.jpg,135531,13337,21422
21,2022-12-21 22:27:04+00:00,POTUS,"Today, I’m announcing the next tranche of security assistance to Ukraine:

A $1.85 billion package that includes equipment and ammunition contracts. And a Patriot missile battery that we will train forces to operate as part of our efforts to strengthen Ukrainian air defense.",,74341,7323,25950
22,2022-12-12 19:00:03+00:00,POTUS,"I joined G7 Leaders and President Zelenskyy to discuss the progress we’ve made under Germany’s presidency to address pressing challenges of our time – Russia’s brutal war against Ukraine, climate, food and energy security, infrastructure, and more.
 
We're more united than ever. https://t.co/KdG4Iw2Ixl",https://pbs.twimg.com/media/FjzKFB4WAAgyyH8?format=jpg&name=large,14725,2196,3410
23,2022-12-05 17:51:23+00:00,POTUS,"As of today, the national average price of gas is $3.40 a gallon – the lowest since early February and lower than when Putin invaded Ukraine.",,54058,7003,25762
24,2022-11-30 15:00:00+00:00,POTUS,"Gas prices are down, domestic production is up, and we’ve rallied the world to release oil to address a gas price hike inflamed by Russia’s unprovoked war on Ukraine.
 
All while continuing to power our historic economic and jobs growth.",,24532,4846,19050
25,2022-11-29 20:57:49+00:00,POTUS,"Finding common ground is crucial to funding the government, COVID, and the war in Ukraine – and resolving the train strike.
 
That’s why this morning, @VP and I met with the top leaders in Congress to get things done for the American people. https://t.co/driKYAEEsv",https://pbs.twimg.com/media/FiwoXMxWAAASOK6?format=jpg&name=large,7958,1545,2698
26,2022-11-29 19:33:38+00:00,POTUS,"Our releases from the Strategic Petroleum Reserve – and my call for global partners to release reserves of their own – have helped gas prices drop below where they were prior to Putin’s invasion of Ukraine.
 
We're blunting Putin's price hike.",,16430,3304,20357
