id,Date,User,Tweet,Media,Likes,Retweets,Comments
0,2023-02-02 13:33:00+00:00,DonaldJTrumpJr,"End the war &amp; the endless $$$ now! 

BREAKING: Trump calls for peace talks for Ukraine and Russia, slams Biden for escalating toward WW3

https://t.co/NyaQYwUdud",https://pbs.twimg.com/ext_tw_video_thumb/1620845232752295937/pu/img/k3iW5Vpjd5AZsxds.jpg,13426,2127,2008
1,2023-01-22 16:59:31+00:00,DonaldJTrumpJr,The propaganda coming from today’s media would make Stalinist Russia blush!,,3059,649,674
2,2023-01-12 17:35:26+00:00,DonaldJTrumpJr,"Given his extensive ties to China, Russia, and Ukraine, did Hunter Biden have access to Joe Biden’s garage and therefore the classified documents?",,41637,7635,7353
3,2023-01-09 21:12:28+00:00,DonaldJTrumpJr,"Here we go again with Bull-Schiff’s nonsense. After years of Russia Russia Russia, and constant lying to the American people this clown is still at it and the leftist media lackeys still carry his water. Just ridiculous.
Hope the Republican’s look into his lies!",,6094,1253,1682
4,2022-12-24 02:23:04+00:00,DonaldJTrumpJr,Sometimes we all need a little perspective. Here’s some perspective about our spending in the Ukraine for our proxy war with Russia versus what we spent in Vietnam for 14 years according to the NEW YORK TIMES. In approximately one year we’re almost at parity. https://t.co/xvwnuMqraY,https://pbs.twimg.com/media/FktY91pWYAAsTaw?format=jpg&name=large,6350,1841,3357
5,2022-12-09 01:28:13+00:00,DonaldJTrumpJr,Has anyone pointed out we are sendings arms to Ukraine and arms dealers to Russia?,,77321,13179,8916
6,2022-12-08 13:31:38+00:00,DonaldJTrumpJr,"No one cuts better deals than Biden. We get an awful America hating WNBA player, while Russia gets an INTERNATIONAL ARMS DEALER!!! The adults are back!",,21592,3565,7069
7,2022-12-03 02:05:43+00:00,DonaldJTrumpJr,"While we’re at it @elonmusk, can we get something similar to this Hunter Biden laptop post-mortem for what Twitter was doing during the Russia Russia Russia hoax to amplify the nonsense allegations and to suppress anything that would clearly prove them false? Thanks.",,76397,11688,3761
8,2022-12-02 22:40:50+00:00,DonaldJTrumpJr,"This will get interesting. I’ll have a lot to say about it given that I did 50 hours of congressional testimony on the Russia Russia Russia hoax, that they all knew was a lie but all pushed anyway.",,16530,2545,842
9,2022-11-16 01:35:02+00:00,DonaldJTrumpJr,Before the warmongers in Congress &amp; the military industrial complex drag all of NATO into war with Russia to get rich let’s make sure it was actually Russia’s missle in Poland &amp; it was on purpose. We know they haven’t been in a war in a few weeks so they’re chomping at the bit$$$,,20377,3952,2663
10,2022-10-25 18:57:16+00:00,DonaldJTrumpJr,"The same morons how blew the Afghan withdrawal are the ones who think they should be in charge of the escalating nuclear crisis with Russia.
What could go wrong?

If you want to stop a nuclear war and more endless wars… vote out all the Dems on Nov 8th!",,2211,613,412
11,2022-10-25 15:53:21+00:00,DonaldJTrumpJr,"Parents are you watching? This is where the democrat party is today. Forced vaccinations, no law enforcement (except those weaponized against their political enemies) open borders, crime, war with Russia, a failing economy/energy sector etc. 
You can stop this madness on Nov 8th!",,3429,1154,496
12,2022-10-07 23:52:24+00:00,DonaldJTrumpJr,"If you were trying to destroy a great nation from within would you do anything differently than what the Democrats are doing to America right now? 

It’s like China and Russia are at the helm.",,32133,6018,5566
