id,Date,User,Tweet,Media,Likes,Retweets,Comments
0,2023-01-23 12:30:00+00:00,amconmag,"""For decades, the U.S. foreign policy establishment has viewed Putin’s Russia as a threat to European allies and a national security threat to U.S. interests in the region.""

By @KelleyBVlahos:
https://t.co/OJzQtXs1FJ",,13,9,4
1,2023-01-20 23:09:13+00:00,amconmag,"""For the first time since Russia’s full-scale invasion of Ukraine, a majority of Republicans now desire that their respective representatives vote against further aid to the beleaguered country.""

By Anthony J. Constantini:
https://t.co/QCMuJVlxHW",,5,1,1
2,2023-01-18 17:56:48+00:00,amconmag,"""For the first time since Russia’s full-scale invasion of Ukraine, a majority of Republicans now desire that their respective representatives vote against further aid to the beleaguered country.""

By Anthony J. Constantini:
https://t.co/AssdEC2bUU",,4,2,0
3,2023-01-18 12:50:00+00:00,amconmag,"""For the first time since Russia’s full-scale invasion of Ukraine, a majority of Republicans now desire that their respective representatives vote against further aid to the beleaguered country.""

By Anthony J. Constantini:
https://t.co/oZ6OA0vhDA",,10,2,0
4,2023-01-02 12:30:30+00:00,amconmag,"""Blame Russia, whatever the facts.""

By Ted Snider:
https://t.co/3VCCsYv2IH",,14,2,0
5,2022-12-30 20:15:26+00:00,amconmag,"The allies don’t trust Moscow. Russia has no reason to trust them, either. https://t.co/DkV7GCVFjA",,4,1,0
6,2022-12-29 13:39:33+00:00,amconmag,"The allies don’t trust Moscow. Russia has no reason to trust them, either. https://t.co/ZVhkSUB3IX",,4,2,1
7,2022-12-22 13:15:00+00:00,amconmag,"""Although Russia has been forced on the defensive, it shows no signs of backing down yet.""

@DimitriASimes, out from behind the paywall:
https://t.co/dL2mPGclfi",,2,2,2
8,2022-12-10 12:55:02+00:00,amconmag,"""Since the onset of hostilities between Russia and Ukraine in February this year, there has been an upsurge of interest in Ukrainian history.""

By @KatyaSedgwick:
https://t.co/elD9cj1UwA",,9,3,1
9,2022-11-22 12:50:00+00:00,amconmag,"""While Americans were preoccupied with determining the results of the 2022 midterm elections, a wayward missile almost brought NATO into direct conflict with Russia.""

@bradleydevlin:
https://t.co/CpolSQrod7",,6,1,0
10,2022-11-14 13:30:00+00:00,amconmag,"""U.S. policy is making Russia feel cornered from all directions.""

Ted Snider's latest:
https://t.co/BPNQK7M4HL",,4,2,1
11,2022-11-03 12:50:00+00:00,amconmag,"""The U.S. has no credibility when criticizing Russia for threatening to go nuclear.""

@Doug_Bandow:
https://t.co/OAKmwI9B0X",,9,4,0
12,2022-09-30 13:29:45+00:00,amconmag,"""Poor Russia -- having come through so much since Communism's fall, only to be led into this fratricidal catastrophe by Putin.""

A blog by @roddreher:
https://t.co/cJnMhVpL9w",,1,1,0
