id,Date,User,Tweet,Media,Likes,Retweets,Comments
0,2022-09-29 17:48:44+00:00,Clem_Autain,Le RN entretient des relations avec la Russie. https://t.co/THFwFDRwa5,https://pbs.twimg.com/media/Fd10HETWIAES7fG?format=jpg&name=large,4978,958,4198
1,2022-12-23 15:53:21+00:00,LutteOuvriere,"#Guerre #Russie-#Ukraine, les travailleurs 🇷🇺 et 🇺🇦 transformés en chair à canon sur le front et surexploités dans les usines. Quand ils tentent de résister ils sont systématiquement réprimés par les polices de #Poutine et #Zelenski avec la bénédiction des dirigeants capitalistes",,41,16,1
2,2022-11-22 15:11:59+00:00,LutteOuvriere,"Lors du sommet de la Francophonie à #Djerba, #Macron accuse la #Russie d'un ""projet de prédation"" en #Afrique.
En matière de pillage des richesses par les trusts, d'exploitation des populations, de violences militaires, ce chef de l'impérialisme français, parle en expert ! https://t.co/GgEHxCiopx",https://pbs.twimg.com/media/FiLV_vtWQAA2zcV?format=jpg&name=large,31,17,2
3,2022-11-20 09:05:07+00:00,LutteOuvriere,"L’#Ukraine : terrain d’affrontement entre l’impérialisme et la #Russie
Retrouvez la vidéo (2/2) du Cercle Léon Trotsky sur ce sujet 👇https://t.co/OvCYdGaY4C",,10,5,0
4,2022-11-20 09:02:43+00:00,LutteOuvriere,"L’#Ukraine : terrain d’affrontement entre l’impérialisme et la #Russie
Retrouvez en vidéo le Cercle Léon Trotsky sur ce sujet👇 https://t.co/OQjlyHbNaI",,21,14,12
5,2022-11-15 09:57:19+00:00,LutteOuvriere,"L’#UKRAINE : TERRAIN D’AFFRONTEMENT ENTRE L’IMPÉRIALISME ET LA #RUSSIE

Venez participer à la conférence du Cercle Léon Trotsky organisé par @LutteOuvriere

SAMEDI 19 NOVEMBRE à 15h
Grande salle de la Mutualité au c
24, rue Saint-Victor, Paris 5e
Métro Maubert-Mutualité https://t.co/e2F9EUbN0C",https://pbs.twimg.com/media/FhmK7q-XEAEj4cq?format=jpg&name=large,39,26,1
6,2022-11-01 11:08:22+00:00,LutteOuvriere,"Honteux blocage par la Russie du blé ukrainien. En retour les #USA accusent la Russie d’affamer les pays pauvres.
Cela vise à masquer les capitalistes exportateurs mondiaux de céréales #Cargill #LouisDreyfus qui s’enrichissent en spéculant sur la guerre !👇https://t.co/Bx6OzzZBLN",,26,11,1
7,2022-09-25 16:51:15+00:00,LutteOuvriere,"#RussianArmy Malgré la censure, les arrestations &amp; les condamnations, la contestation continue en #Russie. 
À souhaiter que #Poutine apprenne à ses dépens que la guerre peut se retourner contre les dirigeants &amp; les nantis. Comme l’apprît Nicolas II lors de la révolution de 1917…",,46,26,0
8,2022-08-04 06:17:54+00:00,LutteOuvriere,"- Inflation : qui la paye, qui en profite
- Taxe sur superprofits : un leurre
- Secteur du luxe : bénéfices insolents
- SNCF : pénurie de trains, réseau déliquescent
- Russie-Ukraine : guerre contre les peuples
- MBS à l’Élysée : un boucher fréquentable
https://t.co/yrIietAk5g👇 https://t.co/1ggPXBhtkl",https://pbs.twimg.com/media/FZS89NwWIAEYMZL?format=jpg&name=large,30,14,1
9,2022-07-27 08:10:53+00:00,LutteOuvriere,"#Macron vient en Afrique vérifier son pré-carré alors que l'armée française a quitté le Mali et que la Russie fait les yeux doux aux dictateurs locaux. Pour préserver les intérêts des Bouygues, Bolloré et autres pilleurs de richesses, Macron est prêt à mouiller la chemise.",,25,16,1
