id,Date,User,Tweet,Media,Likes,Retweets,Comments
0,2022-10-25 19:21:31+00:00,JLMelenchon,"Accueil d'@Asakhnin, Andreï Roudoï et Elizabeta Smirnova, membres de la coalition des socialistes russes contre la guerre en Ukraine. Plus que jamais, la France doit œuvrer à la paix et l'immense honneur que constitue le soutien à ses ardents défenseurs. https://t.co/1PsHIn3sdT",https://pbs.twimg.com/media/Ff8CknrXgAw0H3E?format=jpg&name=large,938,377,224
1,2022-10-12 18:54:33+00:00,JLMelenchon,"Sûreté nucléaire - Notre proposition : des casques bleus autour des centrales en #Ukraine. Pourquoi avoir attendu si longtemps ? Et ne toujours pas le proposer ?

#Levenement",,1146,342,657
2,2022-10-09 10:20:39+00:00,JLMelenchon,"Les Français ne font pas la guerre au peuple russe. Les Français sont opposés à l'invasion de l'Ukraine par la Russie de Monsieur Poutine qui est dans l'escalade. 

C'est très important de le préciser parce que les opposants russes nous demandent de le dire et le répéter. #DimPol https://t.co/ZbFvCWkjAa",https://pbs.twimg.com/media/FensL_gX0AUwmpv.jpg,563,210,214
3,2022-08-28 09:18:36+00:00,JLMelenchon,"Depuis des mois, nous réclamons le déploiement de casques bleus autour des centrales nucléaires en Ukraine. Elles représentent un danger pour toute la civilisation humaine.

#MeetingNUPES #AMFIS2022 https://t.co/61Bvg3iTVb",https://pbs.twimg.com/media/FbPKG-WXoAEwNcp.jpg,674,295,715
4,2022-06-09 14:08:25+00:00,JLMelenchon,"Le propos de M. #Macron contient des choses inutiles auxquelles nous ne pouvons répondre à cause des règles sur le temps de parole. Par exemple ce qu'il dit sur la #Russie. Tout le monde en France dénonce l'invasion russe en #Ukraine.  

#NUPES 

https://t.co/glgAVZetGy",,183,68,4
5,2022-05-29 10:23:38+00:00,JLMelenchon,"M. Poutine continue en Ukraine, dans une logique qui est terrifiante et inacceptable. Je répète : il faut déployer des casques bleus autour des centrales nucléaires. N'attendons pas qu'il y ait un problème pour en découvrir la gravité. #BFMPolitique https://t.co/qGDW5wobPH",https://pbs.twimg.com/media/FT6wgOtXEAEYXbF.jpg,409,135,64
6,2022-05-22 10:58:57+00:00,JLMelenchon,"Il y a plus urgent que le #burkini : la sècheresse, le #nucléaire, la guerre en #Ukraine, l'urgence sociale. Si je suis Premier ministre, je m'occuperai des piscines après avoir réglé les problèmes urgents.  

#LeGrandJury",,1307,400,93
7,2022-05-22 10:44:51+00:00,JLMelenchon,"Ce qu'a fait M. #Poutine est d'une gravité exceptionnelle. Cet homme a passé la frontière de l'#Ukraine, a persécuté des populations civiles. 

#LeGrandJury https://t.co/yP1OtkDXz6",https://pbs.twimg.com/media/FTWwFe0XsAEdJWR.jpg,297,109,98
8,2022-05-22 10:24:25+00:00,JLMelenchon,"Ce que fait M. Poutine est d'une gravité exceptionnelle. Il a passé la frontière de l'#Ukraine et commet des crimes de guerre. Il faut qu'on rediscute de notre système de défense. Je propose de passer dans l'Espace une partie de notre système de dissuasion.

#LeGrandJury",,229,75,256
9,2022-05-08 11:22:04+00:00,JLMelenchon,"Ma position politique était la même que M. Védrine ou M. de Villepin. 

Les Français ne veulent pas la guerre. Ils ont besoin de dirigeants habiles qui sachent éviter la guerre tout en la faisant cesser. Nous voulons que M. #Poutine cesse et sorte de l'#Ukraine.

#QuestionsPol https://t.co/gBuZWM048O",https://pbs.twimg.com/media/FSOx5ujXMAEFV4L.jpg,832,268,209
10,2022-05-08 11:17:29+00:00,JLMelenchon,"J’ai propose d’envoyer des casques bleus protéger les centrales nucléaires en Ukraine. Désormais, le président Zelensky le demande aussi. J’en réaffirme la nécessité. 
#QuestionsPol",,447,145,31
11,2022-05-08 11:14:57+00:00,JLMelenchon,"Quand nous sommes devant une crise comme la guerre en Ukraine, on se sert les coudes. Je suis favorable à la désescalade, comme M.Macron. La France parlera d'une seule voix car c’est notre intérêt commun.
#QuestionsPol",,288,74,37
12,2022-05-07 15:11:21+00:00,JLMelenchon,"L'ordre géopolitique est perturbé par la guerre d'agression de monsieur #Poutine en #Ukraine. Je dédie notre ferveur d'aujourd'hui au peuple ukrainien.    

#ConventionPopulaire #DirectionMatignon https://t.co/niFZFKJpWZ",https://pbs.twimg.com/media/FSKhiQKWQAA0EXB?format=jpg&name=large,197,71,47
13,2022-04-19 17:08:35+00:00,JLMelenchon,"J'ai toujours défendu le non-alignement de la France. Mais non-alignement ne veut pas dire neutralité. Dès que M. #Poutine a envahi l'#Ukraine, j'ai condamné cette agression. 

#MelenchonBFMTV",,467,101,21
14,2022-04-08 06:38:24+00:00,JLMelenchon,"Ça fait 10 ans que je dis que ça risque de mal tourner en #Ukraine et que j'alerte. Dès le départ j'ai dit que ni les Russes ne devaient passer la frontière, ni l'Ukraine ne devait entrer dans l'#OTAN. Les russes ont passé la frontière et je l'ai condamné.

#QuestionsDeConfiance",,172,63,17
15,2022-04-07 18:36:55+00:00,JLMelenchon,"Je suis pour une France non-alignée. Mais non-alignée ne veut pas dire neutre. J'ai condamné immédiatement l'invasion russe en #Ukraine et souligné la responsabilité de Monsieur #Poutine.  

#MelenchonTF1 https://t.co/vBKE199HSL",https://pbs.twimg.com/media/FPww5JmXEAQtJJ6?format=jpg&name=large,456,142,34
