id,Date,User,Tweet,Media,Likes,Retweets,Comments
0,2023-01-04 18:45:12+00:00,EmmanuelMacron,"Jusqu'à la victoire, jusqu'au retour de la paix en Europe, notre soutien à l'Ukraine ne faiblira pas. Je l'ai confirmé au Président Zelensky : la France va fournir des chars de combat légers et poursuivre son soutien en matière de défense aérienne.",,19856,2409,7687
1,2022-12-19 15:03:02+00:00,EmmanuelMacron,"En soutien à l’Ukraine, en renforcement de notre posture défensive et dissuasive de l’OTAN à l’est de l’Europe, marins du groupe aéronaval, votre mission est déterminante. https://t.co/wSbAi9n48L",https://pbs.twimg.com/media/FkWWtd9UYAAZ6uU.jpg,4772,596,986
2,2022-12-15 23:53:16+00:00,EmmanuelMacron,"Parce que la Russie doit payer le prix de son agression injustifiée contre l'Ukraine, au Conseil européen, nous adoptons un 9ème paquet de sanctions.",,16955,1442,6905
3,2022-12-15 23:47:34+00:00,EmmanuelMacron,"En Européens, nous avons pris de nouvelles décisions importantes pour soutenir l’Ukraine. 18 milliards d'euros d’aides supplémentaires sont accordés pour permettre au pays de faire face financièrement.",,7545,1001,4567
4,2022-12-13 23:41:16+00:00,EmmanuelMacron,"Russia's war in Ukraine has caused too much suffering. Together with Cambodia, we call on Russia to stop its strikes and attacks on civilian populations and infrastructure immediately. International partners, join us in this call.",,3627,525,871
5,2022-12-13 23:40:28+00:00,EmmanuelMacron,"La guerre menée par la Russie en Ukraine a causé trop de souffrances. Avec le Cambodge, nous appelons la Russie à un arrêt immédiat des frappes et des attaques contre les populations et les infrastructures civiles. Partenaires internationaux, rejoignez-nous dans cet appel.",,6620,837,3090
6,2022-12-13 19:05:22+00:00,EmmanuelMacron,"Україна не одна.
L'Ukraine n'est pas seule. 
Ukraine is not alone. 
With the help of friends, it will overcome all challenges and only become stronger.",,10175,1201,1034
7,2022-12-13 18:43:45+00:00,EmmanuelMacron,"Plus de 700 entreprises françaises se sont réunies pour répondre dès maintenant aux besoins critiques de l’Ukraine, préparer la reconstruction du pays, et travailler à des investissements futurs. La France joue tout son rôle pour participer à la reconstruction de l’Ukraine. https://t.co/2cBWyk7YDg",https://pbs.twimg.com/media/Fj4P6U1WIAI_zvV?format=jpg&name=large,1773,337,751
8,2022-12-13 15:36:54+00:00,EmmanuelMacron,"At the Paris conference, we raised more than €1 billion of support that will be delivered by April to help Ukraine get through winter. People of Ukraine, you can count on our solidarity!",,2022,312,771
9,2022-12-13 15:33:57+00:00,EmmanuelMacron,"À la conférence de Paris, nous avons mobilisé plus d'un milliard d'euros qui ira sur le terrain avant le mois d'avril pour aider l'Ukraine à passer l'hiver. Ukrainiennes, Ukrainiens, vous pouvez compter sur notre solidarité !",,1759,389,1895
10,2022-12-13 14:31:33+00:00,EmmanuelMacron,"France will provide additional exceptional humanitarian aid of €76.5 million to Ukraine in the electricity and energy fields, on top of the €200 million already provided in 2022.",,16439,1249,3799
