id,Date,User,Tweet,Media,Likes,Retweets,Comments
0,2015-10-06 15:50:03+00:00,amspectator,What's America's plan for Syria? Is Barack Obama content to let Putin show the backbone? http://t.co/iiaMzbdTOC,,0,0,1
1,2015-09-17 00:47:33+00:00,amspectator,"Donald Trump says that he would not have drawn the ""red line"" with Syria. Obama doesn't have courage.",,2,2,0
2,2015-09-17 00:36:02+00:00,amspectator,"Trump: ""We're fighting ISIS, ISIS wants to fight Syria, why aren't we letting them fight each other? #GOPDebate #SpectacleDebate",,0,0,0
3,2014-07-29 21:27:00+00:00,amspectator,"Word to Christians from the Islamic State in #Iraq and #Syria: Convert, leave, or die. http://t.co/w42PZPA8aT http://t.co/A8O4fxbG2E",https://pbs.twimg.com/media/Btvd-faIMAA25zI?format=png&name=large,10,41,7
4,2014-06-03 15:13:46+00:00,amspectator,Important elections are happening today. #Syria is choosing a new leader for the next four years. #PrimaryTuesday,,0,0,0
5,2014-05-28 14:45:57+00:00,amspectator,"On #Syria: we will support Jordan, Lebanon, Turkey, and Iraq as they take in refugees. Ramp up support for most democratic Syrian opposition",,0,0,0
6,2014-04-03 23:00:25+00:00,amspectator,What does @KimKardashian tell us about international intervention? http://t.co/ok7gfZtiie @reidtsmith answers. #Syria,,1,1,1
7,2014-01-30 16:30:08+00:00,amspectator,How can the United States help the women and children of #Syria? http://t.co/ldrwmGfPQw,,1,0,1
8,2014-01-29 23:00:49+00:00,amspectator,President #Obama bent the truth on #Syria last night: http://t.co/Sm5lJVZz2P,,3,4,0
9,2013-10-07 22:00:10+00:00,amspectator,Rouhani ran down the path Vladimir #Putin paved for him with the Syria agreement. #Obama #Iran http://t.co/f2xgWYTkYS,,0,0,0
10,2013-09-25 00:15:42+00:00,amspectator,"Are we going to do anything serious in our post- #Syria mood, or do we go right on vegetating? #Kenya http://t.co/WBzDIZe0DY",,0,3,0
11,2013-09-13 23:00:17+00:00,amspectator,Did it occur to anybody else that #Putin's case against America matches Leftist doctrine almost perfectly? #Syria http://t.co/xoHUW8VGc4,,4,1,2
