id,Date,User,Tweet,Media,Likes,Retweets,Comments
0,2012-10-23 01:22:29+00:00,JoeBiden,The Romney campaign offered “few specifics” about what Romney would do differently from President Obama on Syria: http://t.co/UXxv0Q2A,,117,323,76
1,2013-09-11 01:04:44+00:00,BarackObama,Watch live: President Obama addresses the nation on Syria. http://t.co/W93lxWBW4M,,496,1161,779
2,2013-09-10 19:52:42+00:00,BarackObama,President Obama will address the nation this evening regarding the situation in Syria. Tune in at 9:00 p.m. ET. http://t.co/qVdNKyY1Ep,,322,1226,440
3,2013-09-07 18:57:04+00:00,BarackObama,Watch President Obama's address on the ongoing debate in Congress on Syria: http://t.co/W8iM1WkGdF,,223,519,517
4,2015-10-25 14:03:05+00:00,HillaryClinton,"Hillary and @maddow talked about everything from Syria to health care—but first, Rachel was curious about one thing. https://t.co/oNtp766MgM",,457,218,103
5,2015-12-20 02:10:13+00:00,BernieSanders,We will not turn our backs on the refugees who are fleeing Syria and Afghanistan. #DemDebate,,2422,1118,40
6,2015-12-16 03:17:37+00:00,BernieSanders,What’s reckless is turning our backs on the refugees who are fleeing Syria and Afghanistan. #GOPDebate,,4386,1729,95
7,2015-11-17 00:28:01+00:00,BernieSanders,We will not turn our backs on the refugees who are fleeing Syria and Afghanistan.,,7408,3321,192
8,2014-10-12 12:36:45+00:00,BernieSanders,Bernie will be on @CNN's @CNNsotu talking with @CrowleyCNN about #ISIS and #Syria. http://t.co/SzOkj2p4bU,https://pbs.twimg.com/media/Bzvz2YDIQAAd2kb?format=png&name=large,1,3,0
9,2013-08-31 19:56:27+00:00,SpeakerPelosi,Pres. Obama is right: debate &amp; authorization by Congress will make our country &amp; response in Syria stronger. http://t.co/Kc8YC0jJAr,,56,163,196
10,2015-12-18 23:08:03+00:00,JohnKerry,#Syria resolution adopted by #UNSC is critical to accelerating end of conflict &amp; achieving a political solution in Syria.,,240,248,169
11,2015-12-18 17:39:01+00:00,JohnKerry,Bringing together #ISSG to foster nationwide ceasefire &amp; political transition to end conflict in #Syria &amp; intensify fight against Da’esh.,,129,126,41
12,2015-12-18 02:51:44+00:00,JohnKerry,In NYC for meetings on #Syria; important to achieve political solution to conflict under @UN auspices. https://t.co/XCKzm0Mjl4,,169,152,72
13,2015-12-14 19:43:25+00:00,JohnKerry,Ert Moscow to consult w/ FM Lavrov &amp; President Putin. Will discuss work of Intl Syria Support Group &amp; need to implement Minsk for Ukraine.,,174,159,67
14,2015-12-01 11:18:07+00:00,JohnKerry,"Talked with #Egypt FM Shoukry about important bilateral issues, #COP21, #Libya, efforts to combat Daesh &amp; political transition in #Syria.",,102,72,30
15,2015-11-25 01:02:52+00:00,JohnKerry,Conversation w/ @netanyahu also focused on priorities of defeating Daesh &amp; bringing political transition to #Syria. https://t.co/uEJj0Qv7gA,https://pbs.twimg.com/media/CUnnRqUWEAAD_Cm?format=jpg&name=large,145,107,53
16,2015-11-23 21:02:54+00:00,JohnKerry,"Impt talk w/@AdelAljubeir, @ABZayed. Working w/#UAE, #SaudiArabia to defeat Daesh, find political solution in #Syria https://t.co/iAFQYgj1W7",https://pbs.twimg.com/media/CUhmwyEW4AAVcU7?format=jpg&name=large,221,317,136
17,2015-11-23 20:59:25+00:00,JohnKerry,"Grateful to Sheikh Mohammed bin Zayed for his welcome, #UAE’s critical engagement on #Yemen, #Libya, #Syria. https://t.co/n4uPEozJev",https://pbs.twimg.com/media/CUhl9vaXIAEwvcg?format=jpg&name=large,184,162,52
18,2015-11-20 01:28:10+00:00,JohnKerry,"Focused meeting w/#Bahrain FM @khalidalkhalifa. Appreciate his constructive ideas on #Syria, our fight against Daesh https://t.co/jRmXWiP83c",https://pbs.twimg.com/media/CUN9HnEWoAAlDst?format=jpg&name=large,163,94,68
19,2015-11-17 20:44:34+00:00,JohnKerry,"Detailed talk today with @LaurentFabius on anti-Daesh coordination, moving political process forward in #Syria. https://t.co/Wla1J4HZAb",https://pbs.twimg.com/media/CUCpBsTUAAE24wO?format=jpg&name=large,186,148,93
20,2015-11-13 02:17:10+00:00,JohnKerry,"#Syria’s humanitarian disaster, refugee crisis will be major topic of discussion at G20. We have responsibility to do all we can to help.",,201,178,84
21,2015-11-13 02:15:47+00:00,JohnKerry,"Three over-arching goals in #Syria: defeat Daesh, bring end to civil war through political transition, support our partners in region.",,117,110,44
22,2015-11-13 02:14:26+00:00,JohnKerry,"Spoke on U.S. goals &amp; strategy on #Syria at @USIP earlier. 
My remarks: https://t.co/FfcUpRt6dl. https://t.co/lJovRt6iuI",https://pbs.twimg.com/media/CTqElIKUsAAV_ID?format=jpg&name=large,136,117,32
23,2015-10-28 20:36:03+00:00,JohnKerry,"As I said earlier at @CarnegieEndow, finding way forward on #Syria won’t be easy, but all concerned nations have responsibility to try.",,131,137,96
24,2015-10-22 19:33:35+00:00,JohnKerry,"Met with EU High Rep @FedericaMog on Iran, Libya, Syria, migration crisis; Europe an essential partner on most pressing issues of the day.",,134,155,72
25,2015-10-22 19:27:19+00:00,JohnKerry,"Discussed Syria, Ukraine, Middle East w/@GermanyDiplo FM Steinmeier; grateful for his efforts, Germany’s leadership. https://t.co/V1Y21ZRbE5",https://pbs.twimg.com/media/CR8eAmlWUAIpuzs?format=jpg&name=large,152,142,52
26,2015-09-30 18:33:45+00:00,JohnKerry,Coalition will continue air ops as we have from very beginning. We have conducted strikes against ISIL targets in #Syria over last 24 hours.,,137,210,177
27,2015-09-28 18:41:49+00:00,JohnKerry,"As @POTUS said, we are willing to work with any nation –including #Russia &amp; #Iran- to resolve conflict in #Syria. https://t.co/CTBbPgOJKy",,155,174,51
28,2015-09-20 19:01:04+00:00,JohnKerry,"Inspired to speak w/#Syria #refugees; heartbreaking stories, but still hopeful. Int'l comm must work to end conflict. http://t.co/TWfMfFBHqo",https://pbs.twimg.com/media/CPXlIIFVAAAT-ul?format=jpg&name=large,191,175,117
29,2015-09-20 16:26:51+00:00,JohnKerry,US will increase #refugee number we resettle to 85K from around the world &amp; at least 10K from Syria in FY16; 100K from around world in FY17.,,261,314,201
30,2015-09-20 16:15:24+00:00,JohnKerry,Important discussions with FM Steinmeier on #Syria refugee crisis. #Germany's willkommenskultur sets global example. http://t.co/gnPcOG0F3L,https://pbs.twimg.com/media/CPW_NVfUwAAhDI1?format=jpg&name=large,202,153,63
31,2015-09-19 11:30:28+00:00,JohnKerry,"Appreciate @PHammondMP's partnership on shared issues. Focused today on #Syria, #refugees, #Ukraine http://t.co/gvXlAKapLw",https://pbs.twimg.com/media/CPQ0ZdcWwAAHOry?format=jpg&name=large,143,111,66
32,2015-09-18 15:01:35+00:00,JohnKerry,"Productive mtg w/@OFMUAE. Agreed to continue working together on regional security issues, including #Syria &amp; #Yemen. http://t.co/o7Ozmc9XvS",https://pbs.twimg.com/media/CPMbIh1VEAAqyxN?format=jpg&name=large,123,140,45
