id,Date,User,Tweet,Media,Likes,Retweets,Comments
0,2013-09-03 15:49:38+00:00,DonaldJTrumpJr,"""First Syria rebel unit trained by CIA 'on way to battlefield'..http://t.co/URsyJ7Mgmt""  Good plan. What could posibly go wrong? Oh wait!!",,57,38,12
1,2013-08-29 13:49:56+00:00,DonaldJTrumpJr,"I've heard about an ""imminent"" attack on Syria for 5 days. In other news, apparently I've been misusing the word ""imminent"" for 30 years?!",,32,46,17
2,2015-02-11 14:35:28+00:00,MittRomney,"With the angels, we weep today for Kayla Mueller, the Chapel Hill victims, and the scores killed in Syria and Ukraine.",,1082,772,86
3,2015-12-16 02:59:54+00:00,tedcruz,"If we topple Assad, ISIS will take over Syria and worsen US national security interests. #GOPDebate",,370,234,32
4,2015-12-10 15:59:10+00:00,tedcruz,"For as bad as Assad was and is, radical jihadis controlling Syria would not be an improvement.",,80,65,18
5,2015-10-09 17:27:40+00:00,tedcruz,"With regard to Russia and Syria, we don't need a reset -- we need a reality check. New op-ed: http://t.co/CoYX96cGtx",,116,141,28
6,2014-08-15 00:26:31+00:00,tedcruz,"2 yrs since journalist, Marine &amp; Texan Austin Tice was kidnapped in Syria. His parents’ heartfelt plea for his return http://t.co/jhnkKpC0dk",,35,78,4
7,2014-03-09 17:44:26+00:00,tedcruz,A tiny ray of light in the darkness of Syria—the kidnapped nuns of Maaloula have been freed: http://t.co/wOlksUJmwF,,65,94,12
8,2014-02-02 18:29:05+00:00,tedcruz,"Among the horrors faced by refugees from #Syria, some modern day Good Samaritans are keeping hope alive: http://t.co/uQhuWWd8et",,15,35,12
9,2013-09-13 12:43:56+00:00,tedcruz,People are frustrated w/ politicians in DC who aren't listening to the American people http://t.co/KT3zE5RXgl #Syria #DefundObamacare,,27,66,33
10,2013-09-11 23:26:32+00:00,tedcruz,#NeverForget #September11 &amp; an update on #Syria &amp; #DefundObamacare on air w/ Matt Patrick this AM. Listen &amp; RT! https://t.co/KiZ2SGnqZw,,5,39,5
11,2013-09-08 18:05:32+00:00,tedcruz,"Texans don't want us in the middle of a sectarian civil war in #Syria, particularly when doing so would help al Qaeda http://t.co/kuN6GBag8r",,48,196,63
12,2013-08-27 12:10:47+00:00,tedcruz,"On action in #Syria, Sec Kerry &amp; POTUS have said they want to go to UN for approval. How about going to US Congress? http://t.co/tff5q6xVVa",,153,535,147
13,2012-06-23 01:46:19+00:00,tedcruz,I do not think we should intervene militarily in Syria #TXSen,,6,28,5
14,2015-12-23 17:11:42+00:00,RandPaul,"Joining @FoxNews's Hannity to talk Syria border sec. &amp; @PPact investigation. Don't miss it @ 10pm. Also, more #Festivus grievances to come!",,131,53,9
15,2015-12-14 18:17:31+00:00,RandPaul,Obama/Clinton/Rubio regime change policy in Libya created jihadist wonderland &amp; some still want to pursue it in Syria. Learn from history.,,265,204,18
16,2015-12-14 18:17:22+00:00,RandPaul,The Obama admin is fixated on the Syrian civil war as the cause/solution to ISIS-ISIS threat is well beyond Syria. We need overall strategy.,,161,91,6
