id,Date,User,Tweet,Media,Likes,Retweets,Comments
0,2015-12-24 15:15:17+00:00,PhilippePoutou,"#Syrie : Nouveau ballet diplomatique... et tragique

https://t.co/nH4XpIlzTc",,0,0,0
1,2015-12-10 10:30:31+00:00,PhilippePoutou,"https://t.co/qcjJjaHTEr

#Syrie : Toujours plus de bombes

#NonàLaGuerre",,2,1,1
2,2015-12-10 07:58:17+00:00,PhilippePoutou,"https://t.co/WQXChF2YB9

Mouvement #antiguerre en Grande-Bretagne

#Syrie",,0,0,0
3,2015-09-30 06:02:26+00:00,PhilippePoutou,"Les vieilles recettes militaires de #Hollande et @manuelvalls

https://t.co/5kv5oCg4vw

#Syrie #guerre",,0,3,0
4,2015-07-20 11:15:32+00:00,PhilippePoutou,"#Syrie : Ni défaite ni victoire

https://t.co/AhVSiQCZTa",,1,0,0
5,2015-05-27 14:45:18+00:00,PhilippePoutou,"Syrie : Daesh avance, le régime sur la défensive

http://t.co/modFoW6SJd",,0,0,0
6,2015-04-29 13:00:21+00:00,PhilippePoutou,"Syrie : à la télé, et bientôt sur les tapis rouges ?

http://t.co/FkxixEJnSE",,0,1,0
7,2014-03-27 17:55:43+00:00,PhilippePoutou,"Syrie : mars 2011-mars 2014, l’indispensable solidarité

http://t.co/sgJjctBIiZ",,0,3,0
8,2014-01-30 07:55:23+00:00,PhilippePoutou,"Syrie : parodie de négociations à Genève
http://t.co/ef2NVRsGgY",,0,0,0
9,2014-01-21 07:32:49+00:00,PhilippePoutou,"Revue de presse du lundi : Hollande, Egypte, Syrie, Françafrique, IVG
http://t.co/r8ivJJ3pGJ",,0,3,0
10,2013-11-25 17:54:05+00:00,PhilippePoutou,Revue de presse du lundi : inégalités ; Exploitation ; droite réactionnaire ; Libye ; Syrie ; Égypte - http://t.co/sX9jw1GdVh,,2,1,1
11,2013-10-30 20:15:04+00:00,PhilippePoutou,Syrie : tous les chemins mènent à Genève ? http://t.co/RHXhrD3knl,,1,0,0
12,2012-02-25 23:11:07+00:00,PhilippePoutou,Halte au massacre en Syrie. http://t.co/aJeoFFuo #npa,,0,2,4
13,2013-08-30 19:48:44+00:00,Clem_Autain,"Génocide au Rwanda, aucun Etat ne bouge. 1400 morts à l'arme chimique en Syrie, France et E.U. s'apprêtent à bombarder. Cherchez l'erreur.",,5,42,30
14,2015-12-24 15:15:17+00:00,olbesancenot,"#Syrie : Nouveau ballet diplomatique... et tragique

https://t.co/M7dMQ6FYH9",,5,1,0
15,2015-12-10 10:30:31+00:00,olbesancenot,"https://t.co/i3wzljwwO2

#Syrie : Toujours plus de bombes

#NonàLaGuerre",,6,11,0
16,2015-12-10 07:58:17+00:00,olbesancenot,"https://t.co/RiEzB0pGEO

Mouvement #antiguerre en Grande-Bretagne

#Syrie",,5,0,0
17,2015-09-23 11:01:00+00:00,olbesancenot,"Intervention en #Syrie : Elle est où, l’opposition aux bombardements ?

https://t.co/juKmvrsaKb",,2,4,2
18,2015-07-20 11:15:35+00:00,olbesancenot,"#Syrie : Ni défaite ni victoire

https://t.co/goVzqKkLct",,1,2,0
19,2015-05-27 14:45:19+00:00,olbesancenot,"Syrie : Daesh avance, le régime sur la défensive

http://t.co/tlw947bEXq",,1,0,0
20,2015-04-29 13:00:21+00:00,olbesancenot,"Syrie : à la télé, et bientôt sur les tapis rouges ?

http://t.co/dzkByEDats",,1,2,0
21,2015-04-10 16:35:10+00:00,olbesancenot,"Syrie : le camp de Yarmouk, entre dictature sanglante et barbarie

http://t.co/wWn5hwYN3y",,0,1,0
22,2014-03-27 17:55:43+00:00,olbesancenot,"Syrie : mars 2011-mars 2014, l’indispensable solidarité

http://t.co/EQfPqG7kLu",,0,1,1
23,2014-01-30 07:55:23+00:00,olbesancenot,"Syrie : parodie de négociations à Genève
http://t.co/ENtYzPeJa5",,1,1,1
24,2014-01-21 07:32:48+00:00,olbesancenot,"Revue de presse du lundi : Hollande, Egypte, Syrie, Françafrique, IVG
http://t.co/WLF19A0rOI",,0,2,0
25,2013-11-25 17:54:05+00:00,olbesancenot,Revue de presse du lundi : inégalités ; Exploitation ; droite réactionnaire ; Libye ; Syrie ; Égypte - http://t.co/q7s0YW8CGB,,0,0,2
26,2013-10-30 20:15:03+00:00,olbesancenot,Syrie : tous les chemins mènent à Genève ? http://t.co/pLPyerKlln,,0,0,0
27,2015-10-02 16:18:41+00:00,LutteOuvriere,En bref : A bas les interventions militaires en Syrie ! http://t.co/yrc6wFpUWd,,0,2,0
28,2015-09-29 11:57:08+00:00,LutteOuvriere,En bref : Guerre en Syrie : les pompiers pyromanes http://t.co/sGRxOfhWR5,,1,3,0
29,2015-09-28 15:31:19+00:00,LutteOuvriere,L'Editorial : Des bombes pour la Syrie et des barbelés pour les réfugiés http://t.co/NKM3kxa6PZ,,0,7,0
30,2015-09-04 17:28:12+00:00,LutteOuvriere,"En bref : Syrie, Irak : la coalition internationale bombarde… et ment http://t.co/2Y1HAhdppx",,0,2,0
31,2015-03-17 09:44:09+00:00,LutteOuvriere,En bref : Syrie : Bachar Al Assad à nouveau fréquentable ? http://t.co/KJu26ujXuq,,0,2,0
32,2013-09-04 10:17:53+00:00,LutteOuvriere,En bref : Non au bombardement de la Syrie ! http://t.co/wxLA9fplsp,,0,0,0
33,2013-08-30 20:16:54+00:00,LutteOuvriere,En bref : Syrie : l'humanitaire a bon dos http://t.co/gJ3TuxTOD0,,0,2,0
34,2013-08-27 10:56:24+00:00,LutteOuvriere,En bref : Syrie : l'hypocrisie des puissances impérialistes http://t.co/bKhDYpkeJ8,,0,1,0
35,2012-03-01 00:06:15+00:00,LutteOuvriere,"Syrie - Face à la répression, les faux amis du peuple syrien http://t.co/qYHDYaH8",,0,0,0
36,2012-02-07 13:28:12+00:00,LutteOuvriere,En bref : Syrie : le bal des hypocrites (LO) http://t.co/g66eu9zu,,0,0,0
37,2012-01-16 16:22:45+00:00,LutteOuvriere,En bref : Syrie : une amnistie entre deux massacres ? (LO) http://t.co/KTYIrH7v,,0,0,0
38,2015-09-27 13:25:41+00:00,patrice_leclerc,"Ce gouvernement ne retient aucune leçon, après l'Irak, la Libye, la Syrie... Ces bombardements aggravent la situation, agitation meurtrière",,1,6,0
39,2015-09-17 21:39:10+00:00,patrice_leclerc,"Taher réfugié palestinien de Syrie 
http://t.co/g6tavTHXgT",,0,0,0
40,2014-11-19 22:36:40+00:00,patrice_leclerc,Le conseil municipal de Gennevilliers a voté  2000 € au Croissant Rouge du Kurdistan pour l'accueil de réfugié civils d'Irak  et de Syrie,,1,1,0
41,2013-11-28 12:29:20+00:00,patrice_leclerc,Vote au conseil municipal de Gennevilliers Une aide à AJPF de 2200€ pour aider les camps de réfugies palestiniens au Liban fuyant la Syrie,,1,1,0
42,2013-08-28 20:36:17+00:00,CelineMalaise,"A méditer : ""On ne fait pas la guerre pour se débarrasser de la guerre"" Jean Jaurès #Syrie #FDG",,0,5,1
43,2013-09-05 08:00:28+00:00,NavidHussain,L'intervention d @AndreChassaigne  sur la situation en #Syrie http://t.co/VIGImWouFV #ReseauFDG,,0,0,0
44,2013-09-03 07:22:47+00:00,NavidHussain,En écoutant quelques socialistes qui défendent la guerre en #Syrie j'aimerais bien les voir autant mobiliser pour défendre la #Palestine,,0,1,0
45,2013-09-02 21:53:52+00:00,NavidHussain,Vouloir un vote du parlement sur un sujet aussi important que celui de la guerre en Syrie c est la démocratie  ! #MotsCroisés,,0,0,0
46,2013-09-02 21:26:23+00:00,NavidHussain,#Syrie: @PompiliBarbara qui cite A. Juppe ... Regretable de tomber aussi bas pour se defendre de vouloir cette guerre #motscroises,,0,0,0
47,2013-09-02 18:07:26+00:00,NavidHussain,Pétition pour dire non à une intervention militaire de la #France en #Syrie http://t.co/A63ehH7zZw,,0,0,0
48,2013-08-31 18:49:12+00:00,NavidHussain,#Obama va demander l avis du congrés concernant la #Syrie . Pendant qu ici #Hollande décide seul ...,,0,0,0
