id,Date,User,Tweet,Media,Likes,Retweets,Comments
0,2015-12-02 20:16:09+00:00,MLP_officiel,"""@LaurentFabius nous a expliqué qu'al-Nosra, al Qaida en Syrie, faisait du ""bon boulot""."" #LRMP",,62,81,6
1,2015-11-30 19:54:44+00:00,MLP_officiel,"""Ils ont menti sur  le soi-disant engagement français anti-Daech en #Syrie."" #NPDCP",,49,67,5
2,2015-11-28 14:52:13+00:00,MLP_officiel,"""Cet ennemi prospère en Syrie où la volonté d'Obama d’affaiblir Bachar El-Assad a laissé les islamistes s’engouffrer."" #Ajaccio",,47,43,5
3,2015-11-27 19:05:32+00:00,MLP_officiel,"""Par idéologie, @LaurentFabius a déclaré : « al Nosra fait du bon boulot ». Mais al Nosra, c’est Al Qaïda en Syrie !"" #PleinSud06",,86,114,13
4,2015-11-27 07:35:58+00:00,MLP_officiel,"""L'urgence est de lutter contre l’État islamique, la question politique en #Syrie est secondaire."" #TeamToussaint",,70,89,6
5,2015-11-19 07:28:40+00:00,MLP_officiel,"""Une personne mise en examen pour terrorisme a pu tranquillement partir en #Syrie, puis en revenir !"" @franceinter",,135,193,10
6,2015-11-17 19:40:17+00:00,MLP_officiel,"""#Taubira a dit qu'il ""faut comprendre les jeunes qui partent en Syrie"" faire le djihad."" #20hMLP",,278,481,94
7,2015-10-16 18:26:19+00:00,MLP_officiel,"""Je refuse que les habitants de la région paient pour la bêtise politique de Hollande en Syrie, de Sarkozy en Libye."" #NDPCP",,30,52,3
8,2015-10-11 16:56:45+00:00,MLP_officiel,"""@fhollande et @LaurentFabius soutiennent al-Nosra en Syrie, branche d'al-Qaida."" #CPolitique",,85,165,28
9,2015-10-02 18:27:04+00:00,MLP_officiel,"""Si la Syrie tombe, ce seront des centaines de Mehra, Kouachi, Coulibaly, qui seront envoyés en France pour commettre des carnages."" #NPDCP",,25,70,3
10,2015-10-02 18:26:38+00:00,MLP_officiel,"""Je le redis, je le clame depuis 2011, nous devons discuter avec Bachar El-Assad. Il demeure le seul représentant de l’État en Syrie"" #NPDCP",,29,64,7
