id,Date,User,Tweet,Media,Likes,Retweets,Comments
0,2015-12-03 11:01:34+00:00,JLMelenchon,"La guerre du Levant montre ses contenus et ses contours - https://t.co/9szX3R3VY2
#Syrie #Irak",,18,49,6
1,2015-11-22 10:14:32+00:00,JLMelenchon,"Nous devons restaurer une géopolitique qui tienne debout
➜https://t.co/09Eejn2ecj
#SLT #Daech #France #Russie #Syrie https://t.co/DKSYd5CdSJ",https://pbs.twimg.com/media/CUaIxigWUAAAdd0?format=jpg&name=large,42,53,6
2,2015-11-14 21:39:09+00:00,JLMelenchon,Être intervenu en Irak était une erreur. Bombarder en Lybie était une erreur. La même méthode en Syrie n'a mené nulle part. #OnEstSolidaire,,650,1616,89
3,2015-11-05 07:46:38+00:00,JLMelenchon,#Syrie : un risque de guerre mondiale - https://t.co/Ez58uCLWxO,,14,53,6
4,2015-11-04 19:58:28+00:00,JLMelenchon,"Syrie et Turquie : le naufrage atlantiste de Hollande 
➡️https://t.co/BFkiDrRC9L 
#Syrie #Turquie #Erdogan https://t.co/9nZbvcUPzh",https://pbs.twimg.com/media/CS_hzl3WUAAo0Qd?format=jpg&name=large,19,41,9
5,2015-11-04 17:58:08+00:00,JLMelenchon,"Laxisme : ce gouvernement ne fait-il rien contre les orphelins, les mutilés... ? 
➡️https://t.co/H91pfnCx7M
#Syrie #Turquie #Handicap",,11,25,4
6,2015-10-20 18:49:30+00:00,JLMelenchon,J'étais ce soir l'invité de #PP3tv sur #PublicSénat pour parler d'#AirFrance et de la guerre en #Syrie - https://t.co/Yv7TlYdn6r,,30,41,14
7,2015-10-20 17:15:54+00:00,JLMelenchon,"Pour vous tous, on dirait que l'ennemi n'est pas #Daesh mais Bachar el-Assad ! #Syrie #PP3tv #PublicSenat",,28,54,13
8,2015-10-20 17:11:23+00:00,JLMelenchon,"Al Qaïda, sous le nom d'Al Nostra est allié aux « alliés » en #Syrie. Donc Al Qaïda est méchant en Afghanistan et gentil en Syrie ? #PP3tv",,50,142,21
9,2015-09-29 08:47:38+00:00,JLMelenchon,Note de blog sur la guerre de #Hollande en #Syrie + la nomination d'un ancien de la #BNP à la Banque de France ➡️http://t.co/gEJTgnAyVF,,10,35,10
10,2015-09-20 11:25:32+00:00,JLMelenchon,"Quand il y a une guerre, il faut parler avec les gens qui sont en guerre. Ça ne veut pas dire les soutenir. #Syrie #Agora #FranceInter",,16,23,2
11,2015-09-20 11:24:39+00:00,JLMelenchon,"Si j'étais à l'Élysée, je m'attaquerais aux causes de l'immigration. Ça commence par arrêter les guerres que nous commençons. #Agora #Syrie",,36,77,24
12,2015-09-08 05:51:13+00:00,JLMelenchon,Pour l'instant on parle de vols de reconnaissance. Mais on comprend bien que François #Hollande prépare des frappes en #Syrie. #FranceInfo,,4,20,6
13,2015-09-07 09:37:13+00:00,JLMelenchon,"En #Syrie, sa majesté considère, décide, prévoit. Et l'ONU ? #ConfPR",,18,52,11
14,2015-09-07 09:35:07+00:00,JLMelenchon,"Raccompagner les exilés économiques. Comment ? Où ? En #Syrie, en #Érythrée ? Sur les champs de bataille ou dans les déserts ? #ConfPR",,17,42,7
15,2015-09-06 16:29:28+00:00,JLMelenchon,"En #Syrie, il faut commencer par discuter avec Bachar El-Assad. #CPolitique #france5",,30,60,35
16,2015-09-06 16:27:42+00:00,JLMelenchon,"François #Hollande, c'est le monarque présidentiel. Il décide seul de bombarder on ne sait pas qui. #CPolitique #france5 #Syrie",,22,62,14
17,2015-09-06 16:27:14+00:00,JLMelenchon,Il faut agir pour arrêter la guerre en #Syrie. C'est comme cela qu'on règlera les questions de #migrants. #CPolitique #france5,,23,60,12
18,2015-03-20 07:42:32+00:00,JLMelenchon,Il faut reprendre les relations diplomatiques avec la #Syrie. #BFMTV #bourdindirect,,7,20,11
19,2015-03-03 17:31:38+00:00,JLMelenchon,#Syrie : nous avons besoin d'une conférence internationale sous l'égide de l'#ONU pour arrêter la guerre. #PP3TV #PublicSénat,,9,20,3
20,2013-09-15 18:32:50+00:00,JLMelenchon,#Hollande commente la déroute humiliante de notre pays en Syrie. A pleurer. #JTPR,,7,60,25
21,2013-09-10 08:55:13+00:00,JLMelenchon,J'étais ce matin l'invité d'#RTL où j'ai été interrogé sur la réforme des #retraites et sur la #Syrie. &gt;http://t.co/n1TuKIE5kH&lt;,,6,19,5
22,2013-09-10 04:49:48+00:00,JLMelenchon,"A 7h50, je suis l'invité de @jmaphatie sur @RTLFrance. Il sera question des #retraites, de la #Syrie et de la #Tunisie.",,0,13,9
23,2013-09-04 09:04:24+00:00,JLMelenchon,"""Le naufrage syrien des solfériniens"" : nouvelle note sur mon blog. &gt;http://t.co/3GqBN2XVQL&lt; #Syrie",,6,37,6
24,2013-09-02 14:18:59+00:00,JLMelenchon,J'étais hier l'invité du #GrandJury où j'ai été interrogé sur la #Syrie et les #retraites. &gt; http://t.co/CRlBswHScw,,5,28,7
25,2013-08-31 08:30:21+00:00,JLMelenchon,Avant de passer devant le jury et de rentrer vraiment. &gt;http://t.co/0RN7T7Y9Uf&lt; #Syrie #Retraites #Valls,,3,14,3
26,2013-05-28 10:51:14+00:00,JLMelenchon,"Exporter des armes en Syrie, une faute lourde contre la paix &gt; http://t.co/Zgq4nq12Pg",,9,71,34
27,2012-10-28 17:50:01+00:00,JLMelenchon,"""Un pouvoir qui commence à tirer sur son peuple est un pouvoir illégitime"" #Syrie #TousPol",,4,31,7
28,2012-08-20 06:45:25+00:00,JLMelenchon,"""Il ne suffit pas de faire chuter un dictateur pour assurer une paix durable"" #f_inter #Syrie",,3,36,10
29,2012-08-20 06:44:25+00:00,JLMelenchon,"""L'intervention militaire dans les pays en guerre civile n'est pas une solution ; voyez les exemples Iranien, Irakien…"" #f_inter #Syrie",,3,20,3
30,2012-03-21 18:13:19+00:00,JLMelenchon,"RT si tu refuses l'amalgame scandaleux entre #Toulouse, Gaza et la Syrie opéré par C. Ashton &gt; http://t.co/StAjEhiF via @LePoint",,4,148,13
31,2012-03-13 18:57:36+00:00,JLMelenchon,"Syrie : ""Un dirigeant qui tire sur son peuple n'a plus aucune légitimité"" #RFI",,12,51,18
32,2012-02-19 11:57:56+00:00,JLMelenchon,"""Un gouvernement qui martyrise son peuple a perdu toute légitimité"" #Syrie #DimanchePlus",,2,11,1
33,2012-02-12 17:47:45+00:00,JLMelenchon,"""Sur la Syrie, les Russes et les Chinois se trompent"" #RFPol",,0,3,1
34,2015-09-27 14:48:10+00:00,fhollande,La France a frappé ce matin en Syrie un camp d'entraînement de Daech. Nous agissons pour trouver une solution en Syrie et nous protéger.,,489,601,373
35,2012-03-07 19:40:42+00:00,fhollande,"Sur la Syrie, les actions qui sont menées vont dans le sens que je souhaite, il y aura une continuité. #JT20H #FH2012",,0,20,14
36,2012-03-07 15:11:34+00:00,fhollande,Rémy Ochlik a eu le courage d’aller en Syrie au péril de sa vie.,,1,14,3
37,2012-02-23 07:51:19+00:00,fhollande,Je mets en accusation la Russie et la Chine qui empechent toute intervention des Nations Unies en #Syrie. #FInter #FH2012,,5,46,45
38,2012-02-23 07:48:02+00:00,fhollande,Dois-je rappeler que celui qui massacre son peuple a été invité un 14 juillet par N. Sarkozy? #Syrie #FInter #FH2012,,11,183,56
39,2012-02-05 15:44:26+00:00,fhollande,Le Conseil de sécurité ne peut pas abandonner les Syriens : http://t.co/DKjCCuji #Syrie #FH2012,,3,38,23
40,2015-09-27 08:15:49+00:00,Anne_Hidalgo,#LeGrandRDV #Réfugiés Il faut traiter la question sur le front humanitaire. #Syrie http://t.co/y4kJh53G85,https://pbs.twimg.com/media/CP5UgS1WUAA-a6h?format=png&name=large,7,8,2
41,2015-09-24 11:27:23+00:00,Anne_Hidalgo,"La semaine prochaine, le  #ConseildeParis votera des aides d'urgence pour la #Syrie et le #Yemen #Solidarité http://t.co/JL0F4vIfe9",https://pbs.twimg.com/media/CPqjeqnWsAACB83?format=png&name=large,10,22,3
42,2014-02-06 10:31:07+00:00,Anne_Hidalgo,"Leur liberté, c'est la nôtre. Mobilisons-nous pour la libération des otages en Syrie : http://t.co/uP5MJMhq6j #6février",,10,34,5
43,2014-01-06 11:59:08+00:00,Anne_Hidalgo,"Mobilisons-nous pour Didier, Edouard, Nicolas et Pierre, disparus en Syrie depuis juin. Leur liberté, c'est la nôtre: http://t.co/kEGrAoPrug",,2,17,1
44,2013-03-15 18:20:16+00:00,Anne_Hidalgo,Mobilisée à la vague blanche pour la Syrie avec Souhayr Belhassen présidente de la FIDH &amp; @PierreSchapira #SyriaStop http://t.co/wmr52VgSFH,https://pbs.twimg.com/media/BFauuWBCYAAmMPa?format=jpg&name=large,3,16,14
45,2015-09-16 07:18:45+00:00,benoithamon,"Coupe du monde de rugby: Hamon, torgnoles et Syrie, c'est le XV de France parlementaire — 20minutes.fr http://t.co/rI2MC8oWN4 via @20minutes",,3,7,0
46,2012-08-13 08:35:12+00:00,benoithamon,"Pour contredire N Sarkozy sur l'option d'une intervention militaire en Syrie, F Fillon charge... F Hollande. Toujours aussi franc du collier",,3,50,21
47,2014-08-20 10:28:54+00:00,olivierveran,"Comment ne pas être saisi d'effroi à l'idée que des ados de 14 ans puissent s""identifier à, soutenir, voire rejoindre des bouchers en Syrie.",,0,0,0
48,2014-08-20 09:29:15+00:00,olivierveran,"Si la communauté internationale avait agi en Syrie nous ne serions pas ""face à ce choix terrible entre un dictateur et un groupe terroriste""",,0,0,0
49,2014-01-03 20:33:05+00:00,olivierveran,"Intolérable de s'en prendre aux équipes de #MSF qui sauvent chaque jour, partout dans le monde, des vies au péril de la leur. #Syrie",,0,3,0
50,2013-09-15 19:03:48+00:00,olivierveran,"Un président convainquant sur la Syrie, précis sur l'économie, ferme sur ses convictions républicaines. La rentrée est bien lancée ! #JTPR",,0,3,2
51,2013-09-11 13:25:32+00:00,olivierveran,"Quand @LaurentFabius cite l'hommage de Juppé à l'action de F.Hollande sur la Syrie, la gauche applaudit, la droite accuse le coup #DirectAN",,0,3,0
52,2013-06-26 14:07:19+00:00,olivierveran,Le ministre @LaurentFabius rappelle que la France est déterminée et l'Europe totalement mobilisée pour que s'arrête l'horreur en Syrie.,,0,1,0
53,2013-06-18 13:48:40+00:00,olivierveran,L'assemblée nationale rassemblée à l'évocation des journalistes otages en Syrie. L.Fabius assure de l'engagement de la France. #DirectAN,,0,3,0
54,2013-12-31 10:39:39+00:00,CCastaner,Finir 2013 par une grande joie: la liberation du père Vandenbeusch. Mais 6 Français sont tjrs otages au Mali et en Syrie. Mobilisation 2014!,,1,5,0
55,2013-09-04 15:10:36+00:00,CCastaner,"#directan #syrie Agacé de voir certains députés PS, qui, pour attraper un passage TV, reclament un vote et ne viennent même pas en séance!",,0,0,0
56,2013-09-04 14:51:05+00:00,CCastaner,#directan #syrie au nom d'enjeux de politique nationale @jacob s'aligne sur Al-Assad et Poutine...Reste t'il encore un parti gaulliste?,,0,1,1
