id,Date,User,Tweet,Media,Likes,Retweets,Comments
0,2015-11-25 11:28:05+00:00,vpecresse,En Syrie les Turcs ne doivent pas se tromper d'ennemi. La lutte contre l'Etat islamique doit devenir notre grande cause à tous (2),,19,19,8
1,2015-11-25 11:26:10+00:00,vpecresse,En Syrie pour combattre l'Etat islamique apportons un soutien bcp + important aux Kurdes. Mais refusons le Hezbollah dans la coalition (1),,22,19,22
2,2015-09-04 08:45:37+00:00,vpecresse,Réalité insoutenable &amp; bouleversante en Méditerranée. Quand l'Europe obtiendra-t-elle l'intervention d'1 coalition internationale en Syrie?,,21,49,20
3,2015-02-24 09:14:41+00:00,vpecresse,90 chrétiens enlevés en Syrie par Daesch. Le monde ne peut pas détourner les yeux,,23,136,44
4,2014-04-19 12:05:46+00:00,vpecresse,"Heureuse de la libération des otages français en Syrie, j'ai une pensée très chaleureuse pour eux, leur famille et leurs amis.",,4,19,4
5,2013-09-05 07:59:44+00:00,vpecresse,Syrie: hier nous avons montré à F Hollande que vers l'orient compliqué il ne faut pas aller avec des idées simplistes #débatAN,,3,16,15
6,2013-08-23 18:08:03+00:00,vpecresse,Photo de une @lemondefr insoutenable.  Que faire pour la Syrie? L'Europe ne peut se voiler la face  #massacresendirect,,3,16,31
7,2013-06-08 06:21:52+00:00,vpecresse,En solidarité avec Didier François et Edouard Elias enlevés en Syrie. Mes pensées vont à leurs proches.,,4,7,5
8,2013-05-08 13:11:59+00:00,vpecresse,"La Syrie, quelqu'un s'en soucie? #initiativefrançaise?",,1,8,32
9,2012-02-06 14:27:51+00:00,vpecresse,"Conseil des ministres franco-allemand détendu au déjeuner. On a parlé smic, emploi des jeunes, voiture électrique, ttf, syrie",,1,2,37
10,2012-01-20 11:30:31+00:00,vpecresse,@tetunicois Sur la Syrie nous ne pouvons intervenir que sous mandat de l'ONU mais la France est la plus engagée au conseil de sécurité,,0,0,1
11,2012-01-11 21:55:06+00:00,vpecresse,"Emotion à la nouvelle de la mort de Gilles Jacquier, le gouvernement condamne à nouveau la violence en Syrie et demande une enquête",,1,9,7
12,2015-11-16 07:19:57+00:00,nadine__morano,Valls explique maintenant qu'il faut mener la guerre contre Daesh en Syrie et en Irak... Il aura fallu attendre 129 morts et 350 blessés...,,104,144,126
13,2015-11-15 14:01:02+00:00,nadine__morano,A chacune de mes interventions médiatiques j'ai demandé une intervention en Syrie avec les Russes...L'extermination de Daesh est prioritaire,,77,44,72
14,2015-10-29 19:04:43+00:00,nadine__morano,"""La seule solution, c'est une intervention en Syrie. @fhollande ne parle avec personne. Nous ne sommes plus respectés"" #moranobeziers",,6,19,10
15,2015-09-27 10:35:58+00:00,nadine__morano,Enfin la France a frappé Daech en Syrie. Quel retard. Hollande vient de comprendre ce qu'il faut faire pour régler la tragédie migratoire.,,28,35,69
16,2015-09-22 06:47:07+00:00,nadine__morano,"""Ça coûte 10 fois moins cher d'accueillir un réfugié dans un pays proche de la Syrie qu'en Europe"" #bourdindirect",,9,20,15
17,2015-09-17 04:28:20+00:00,nadine__morano,"S'ils ne peuvent pas rentrer en Syrie, Prêts à risquer leur vie pour venir en Europe qu'ils voient à la télé ... http://t.co/CYYuZWEBnA",https://pbs.twimg.com/media/CPFAmmZUAAI2_Jr?format=jpg&name=large,4,5,27
18,2015-08-22 11:45:21+00:00,nadine__morano,@franceinfo la vague migratoire va s'intensifier tant qu'il n'y aura pas d'initiatives internationales en Libye et en Syrie.,,4,7,10
19,2014-09-14 13:31:54+00:00,nadine__morano,Nous devons agir militairement contre la nébuleuse terroriste qui se fait appeler l’ « État » islamique en Syrie et en Irak.,,10,15,12
20,2013-09-15 19:07:12+00:00,nadine__morano,Hollande avait sans doute besoin de faire illusion sur la Syrie... la France sort une nouvelle fois affaiblie sur la scène internationale,,11,36,23
21,2015-12-02 07:17:53+00:00,NicolasSarkozy,Nous avons qu'un seul objectif: éradiquer l'Etat islamique #E1Sarkozy #Syrie,,118,151,25
22,2015-12-02 06:51:55+00:00,NicolasSarkozy,Nous n'avons pas mesuré les conséquences en termes de #sécurité intérieure de notre intervention en #Syrie #E1Sarkozy,,74,133,38
23,2015-11-04 07:14:54+00:00,NicolasSarkozy,"#Syrie: le membres du parti Baas, la minorité Alaouite. Nous devons discuter.",,42,58,8
24,2015-11-04 07:13:36+00:00,NicolasSarkozy,#Syrie: Bachar El Assad a la responsabilité de 250 000 morts civils. Il ne peut pas incarner l'avenir de son pays. #NSRTL #RTLMatin,,59,97,39
25,2015-10-29 18:41:50+00:00,NicolasSarkozy,4M de personnes ont aujourd'hui quitté la #Syrie. Nous sommes confrontés à la plus grande vague migratoire en Europe #NSмосква,,91,168,13
26,2015-10-29 18:37:51+00:00,NicolasSarkozy,"Dès Juillet 2012, j'avais demandé une intervention en Syrie. #NSмосква",,89,157,32
27,2015-09-10 18:15:54+00:00,NicolasSarkozy,Nous devons accueillir les réfugiés syriens. Ils ont vocation à retourner en Syrie lorsque la paix sera revenue #NS20H,,200,374,86
28,2015-07-01 12:41:08+00:00,NicolasSarkozy,Il faut discuter avec Bachar el-Assad d’un seul sujet : les conditions de son départ. #Syrie #Terrorisme #Daech http://t.co/v2Xy4SmuXu,https://pbs.twimg.com/media/CI1FZEWUMAAuZoo?format=jpg&name=large,62,137,68
29,2015-07-01 12:39:52+00:00,NicolasSarkozy,Nous assistons à une effarante crise de leadership. #Syrie #Terrorisme #Daech http://t.co/o95UjJNViD http://t.co/QM24nnX663,https://pbs.twimg.com/media/CI1FGdqUkAAX7lz?format=jpg&name=large,82,165,26
30,2015-05-15 10:25:21+00:00,NicolasSarkozy,.@aurelherbemont Assad a été invité en France au lancement de l'Union pour la Méditerranée. La Syrie ne serait-elle pas en Méditerranée?,,64,112,33
31,2014-11-27 18:05:19+00:00,NicolasSarkozy,"""Sauvage ! Comment qualifier autrement ce qui se passe au Mali, en Centrafrique, en Libye, en Syrie, en Irak, en Afghanistan, en Ukraine ?""",,39,88,11
32,2014-11-15 11:44:26+00:00,NicolasSarkozy,"""J'aime profondément la Syrie. Nous devons y lutter contre l'Etat islamique, protéger les Syriens contre Bachar-el-Assad."" #NSAulnay",,32,62,31
33,2014-11-15 11:39:40+00:00,NicolasSarkozy,Question d'une personne sur la Syrie #NSAulnay,,16,27,0
34,2012-04-19 06:17:20+00:00,NicolasSarkozy,"#Syrie: ""La solution, c'est la création de couloirs humanitaires."" #Europe1",,0,18,3
35,2012-04-19 06:16:09+00:00,NicolasSarkozy,"""Comme pour la Libye, c'est la France qui est à l'origine de la fermeté face à la #Syrie.""
http://t.co/vNKS9UVL",,1,25,5
36,2012-03-15 10:30:44+00:00,NicolasSarkozy,"Syrie, TVA anti-délocalisation, erreur historique des 35h...Les réponses de N.Sarkozy aux questions d' @europe1 sur http://t.co/5s6jhN89",,1,52,9
37,2012-03-06 21:22:27+00:00,NicolasSarkozy,"""#Syrie : ce qui se passe à #Homs est un scandale"" #dpda #ns2012",,4,31,7
38,2012-03-06 21:22:09+00:00,NicolasSarkozy,"""#Syrie : il faut faire lever le veto russe et le veto chinois. Bachar al-Assad s'est comporté comme un assassin."" #dpda #ns2012",,7,56,4
39,2012-03-06 21:21:28+00:00,NicolasSarkozy,"""#Syrie : il ne serait pas raisonnable de lancer l'armée française sans un mandat très clair de l'ONU"" #dpda #ns2012",,3,28,2
40,2012-03-02 17:15:18+00:00,NicolasSarkozy,J'ai une pensée pour Rémi Ochlik et Gilles Jacquier qui sont décédés en Syrie en faisant leur métier - NS,,13,58,27
41,2015-11-25 17:53:00+00:00,nk_m,J'ai voté la prolongation de l’engagement de nos forces aériennes en #Syrie pour y combattre le #terrorisme #Daech. https://t.co/LfamtpKIsZ,https://pbs.twimg.com/media/CUrOeq1UsAAjr3U?format=jpg&name=large,38,37,16
42,2015-10-17 14:05:50+00:00,nk_m,Salim Benghalem a choisi de faire la guerre à la #France. Donc la France lui fait la guerre. #Syrie http://t.co/SgfHlvW5Se,,18,28,20
43,2015-02-24 14:06:09+00:00,nk_m,#Syrie 90 chrétiens enlevés par Daech. Personne ne doit fermer les yeux ou baisser les bras.L'État islamique doit être combattu sans relâche,,35,115,21
44,2014-04-19 10:46:15+00:00,nk_m,Enfin libres ! Joie et soulagement en apprenant ce matin la libération des 4 journalistes otages en #Syrie.,,25,57,15
45,2014-03-08 12:09:09+00:00,nk_m,"Le viol, arme de destruction massive. La #Syrie nous rappelle que le corps des femmes ne doit plus être un champ de bataille. #WomenWishes",,12,70,4
46,2014-02-06 11:05:51+00:00,nk_m,"N'oublions pas les otages en #Syrie : D.François, E. Élias, N. Hénin, P.Torres, détenus depuis 8 mois http://t.co/KvyXElD1el #6février",,15,60,6
47,2015-11-23 12:46:32+00:00,BrunoLeMaire,"Et ma position constante sur la #Syrie : éliminer l'#Etatislamique, coalition internationale, révision de nos alliance diplo. Cc @RadioPeyi",,7,17,1
48,2015-11-16 08:16:57+00:00,BrunoLeMaire,Urgence d'un Conseil de sécu. de l'ONU pour mettre en place une coalition internat. avec des troupes au sol en Syrie https://t.co/CXdfrkkPoE,,27,78,8
49,2015-09-07 07:57:30+00:00,BrunoLeMaire,"Nous devons en finir avec #Daesh ! 
Retrouvez ma tribune dans @lemondefr sur une intervention terrestre en #Syrie ➡️ http://t.co/HcP3Ww1Gqi",,14,58,7
50,2015-09-04 09:08:57+00:00,BrunoLeMaire,.@franckriester @HMaurey @SebLecornu Toute opération militaire en #Syrie devra se faire avec une coalition internationale et sous mandat NU,,8,30,7
51,2015-09-04 09:07:40+00:00,BrunoLeMaire,@netanyahu @franckriester @HMaurey @SebLecornu Je rappelle ma position sur la nécessité de frapper militairement #Daesh au sol en Syrie.,,11,28,10
52,2015-09-04 06:08:28+00:00,BrunoLeMaire,"Entretien ce matin avec @danmeridor1 sur #Daesh et la #Syrie avec @franckriester, @SebLecornu et @HMaurey http://t.co/MjJ22DH71l",https://pbs.twimg.com/media/COCa2AwUkAEVyVv?format=jpg&name=large,9,21,2
53,2015-09-03 09:21:32+00:00,BrunoLeMaire,Vous êtes PM @manuelvalls ! Agissez ! Mobilisez une coalition internationale pour une intervention militaire contre #Daesh en #Syrie !,,101,275,37
54,2015-09-02 16:50:49+00:00,BrunoLeMaire,".@Xela42 A trois conditions : une résolution NU, une coalition des pays de la région, une conférence internationale sur la Syrie #directBLM",,0,2,2
55,2015-06-26 13:17:16+00:00,BrunoLeMaire,Nous ne pouvons pas laisser la Syrie devenir le sanctuaire et la base arrière de l’islamisme radical au Moyen-Orient. #Daech #Isère,,12,44,6
56,2015-06-26 13:16:56+00:00,BrunoLeMaire,appelant au recours à la force contre #Daesh et contre l’islamisme radical en #Syrie. #Isère,,7,41,4
57,2015-06-18 15:20:46+00:00,BrunoLeMaire,Mon échange avec le Président @SleimanMichel me confirme l'urgence à frapper #Daesh en Syrie sous mandat NU et avec une coalition régionale.,,13,34,9
58,2015-03-20 10:45:22+00:00,BrunoLeMaire,.@AdrienRobelet Bachar el-Assad ne peut pas être la solution en Syrie. #directBLM,,7,5,4
59,2015-02-20 22:30:29+00:00,BrunoLeMaire,"#Libye, #Syrie, #Daech, #Ukraine, #COP21 ... Passionnant échange avec le secrétaire général de l'#ONU, Ban Ki-moon. http://t.co/bZIhNbdV78",https://pbs.twimg.com/media/B-UkAwiIEAANdrx?format=jpg&name=large,29,62,5
60,2015-02-20 19:03:05+00:00,BrunoLeMaire,"Entretien avec Liu Jieyi,représentant permanent de la #Chine à l'#ONU : #Daech, Syrie, Russie, relation avec la Chine http://t.co/cMH1MLu5ak",https://pbs.twimg.com/media/B-T0iX_IMAA2tmU?format=jpg&name=large,8,28,2
61,2014-04-19 09:42:27+00:00,BrunoLeMaire,Profondément heureux d'apprendre la libération de nos 4 #otages détenus en #Syrie !,,20,72,7
62,2013-09-20 20:05:51+00:00,BrunoLeMaire,"Entretien de 45mn à New-York avec le Secrétaire Général des #Nations-unies. #Malnutrition, #Syrie, #Iran, #Mali. http://t.co/7AWdktKY8C",https://pbs.twimg.com/media/BUobXrUCUAA-i13?format=jpg&name=large,10,22,3
63,2013-08-31 06:23:43+00:00,BrunoLeMaire,Retrouvez ce matin dans #Sud-Ouest mon interview sur la Syrie : contre un alignement sur les États-Unis. http://t.co/rU5aDvP4oH,https://pbs.twimg.com/media/BS-fZowIIAA2gLz?format=jpg&name=large,10,60,13
64,2012-08-03 21:06:37+00:00,BrunoLeMaire,"Incapacité tragique du CSNU à faire cesser les violences en #Syrie. Que fait la #France, présidente du CSNU ? Quelle initiative ?",,3,31,24
65,2012-02-22 19:05:11+00:00,BrunoLeMaire,Profondément choqué par les violences à Homs en Syrie et par la mort des deux journalistes. Temps que le conflit cesse.,,1,8,4
